timestamp,Activity,acc_x,acc_y,acc_z
1775611460593,Sitting,-0.082,1.4573,-9.5222
1775611460608,Sitting,-0.0652,1.388,-9.3022
1775611460625,Sitting,0.0093,1.1984,-9.3307
1775611460641,Sitting,-0.0307,1.3779,-9.4396
1775611460658,Sitting,-0.0196,1.5685,-9.6139
1775611460674,Sitting,-0.1233,1.7533,-9.7025
1775611460691,Sitting,0.013,1.5212,-9.6561
1775611460708,Sitting,0.1956,1.0669,-9.9549
1775611460725,Sitting,-0.028,1.2028,-9.8595
1775611460742,Sitting,0.0248,1.2543,-9.6286
1775611460761,Sitting,-0.1037,1.1684,-9.487
1775611460775,Sitting,-0.048,1.306,-9.6406
1775611460792,Sitting,-0.0141,1.3226,-9.6479
1775611460809,Sitting,-0.0063,1.325,-9.619
1775611460825,Sitting,-0.0022,1.3021,-9.6537
1775611460841,Sitting,-0.0784,1.3458,-9.5761
1775611460858,Sitting,0.0215,1.3235,-9.6314
1775611460875,Sitting,-0.0214,1.3939,-9.5804
1775611460892,Sitting,-0.0944,1.4492,-9.4845
1775611460908,Sitting,-0.0871,1.4126,-9.4451
1775611460924,Sitting,-0.0789,1.3367,-9.6892
1775611460941,Sitting,-0.2499,1.3247,-9.6554
1775611460958,Sitting,-0.2279,1.3443,-9.5789
1775611460974,Sitting,-0.0763,1.2451,-9.6796
1775611460991,Sitting,-0.0667,1.292,-9.7363
1775611461008,Sitting,-0.1529,1.2593,-9.6129
1775611461025,Sitting,0.1098,1.6912,-9.0935
1775611461042,Sitting,-0.0376,1.6963,-9.4504
1775611461058,Sitting,-0.1445,1.5769,-9.6965
1775611461075,Sitting,-0.3151,1.2975,-9.9144
1775611461091,Sitting,-0.0368,1.1477,-9.7246
1775611461108,Sitting,0.0947,1.0464,-9.6021
1775611461125,Sitting,0.2336,1.2236,-9.5057
1775611461141,Sitting,0.4091,1.5077,-9.6205
1775611461158,Sitting,0.3925,1.6225,-9.6078
1775611461175,Sitting,0.4108,1.6302,-9.5565
1775611461192,Sitting,0.4854,1.441,-9.5173
1775611461208,Sitting,0.5691,1.3437,-9.55
1775611461225,Sitting,0.6719,1.3065,-9.6238
1775611461241,Sitting,0.5414,1.3117,-9.6046
1775611461258,Sitting,0.5807,1.3678,-9.5366
1775611461276,Sitting,0.4609,1.38,-9.4896
1775611461291,Sitting,0.3606,1.3072,-9.5551
1775611461308,Sitting,0.2708,1.2737,-9.5761
1775611461325,Sitting,0.0853,1.2644,-9.6373
1775611461342,Sitting,-0.0205,1.3279,-9.6657
1775611461358,Sitting,-0.0699,1.3792,-9.65
1775611461376,Sitting,-0.2077,1.5282,-9.5383
1775611461392,Sitting,-0.2842,1.5347,-9.4836
1775611461409,Sitting,-0.2785,1.4717,-9.5246
1775611461425,Sitting,-0.1942,1.2975,-9.6527
1775611461442,Sitting,-0.1472,1.2216,-9.6865
1775611461459,Sitting,-0.1502,1.2347,-9.6555
1775611461475,Sitting,-0.1667,1.3297,-9.5901
1775611461494,Sitting,-0.0904,1.3533,-9.5895
1775611461509,Sitting,-0.0015,1.3012,-9.6353
1775611461525,Sitting,0.0557,1.2822,-9.6449
1775611461542,Sitting,0.129,1.2622,-9.603
1775611461559,Sitting,0.2225,1.3189,-9.5991
1775611461575,Sitting,0.2312,1.3144,-9.5704
1775611461592,Sitting,0.283,1.3391,-9.5225
