timestamp,activity,acc_x,acc_y,acc_z
1775306316393,Laying,0.0000,0.1000,0.0000
1775306316410,Laying,-0.1000,0.0000,0.0000
1775306316426,Laying,-0.1000,-0.1000,0.0000
1775306316443,Laying,0.0000,-0.1000,0.0000
1775306316459,Laying,0.1000,-0.1000,0.1000
1775306316476,Laying,0.0000,0.0000,0.0000
1775306316493,Laying,-0.1000,0.1000,0.0000
1775306316509,Laying,0.0000,0.1000,0.0000
1775306316526,Laying,0.0000,0.0000,0.1000
1775306316543,Laying,0.0000,0.0000,0.0000
1775306316559,Laying,0.1000,0.0000,0.0000
1775306316576,Laying,0.0000,0.0000,0.0000
1775306316592,Laying,0.0000,0.0000,0.0000
1775306316609,Laying,0.0000,0.0000,0.1000
1775306316626,Laying,-0.1000,0.0000,0.0000
1775306316642,Laying,-0.1000,0.0000,0.0000
1775306316659,Laying,0.0000,0.0000,0.0000
1775306316676,Laying,-0.1000,0.0000,0.0000
1775306316693,Laying,-0.1000,0.0000,0.0000
1775306316709,Laying,0.0000,0.0000,0.0000
1775306316726,Laying,0.0000,0.0000,0.0000
1775306316743,Laying,0.0000,-0.1000,0.0000
1775306316759,Laying,0.0000,0.0000,0.0000
1775306316776,Laying,0.0000,-0.1000,0.0000
1775306316793,Laying,0.0000,-0.1000,0.0000
1775306316809,Laying,0.1000,0.0000,0.1000
1775306316826,Laying,0.1000,0.1000,0.1000
1775306316843,Laying,0.1000,0.0000,-0.1000
1775306316859,Laying,-0.1000,0.0000,0.0000
1775306316876,Laying,-0.1000,0.0000,0.1000
1775306316893,Laying,-0.1000,0.0000,0.0000
1775306316909,Laying,0.0000,0.0000,0.0000
1775306316926,Laying,0.0000,0.0000,-0.1000
1775306316942,Laying,0.0000,-0.1000,0.0000
1775306316959,Laying,-0.1000,-0.2000,0.1000
1775306316976,Laying,0.0000,-0.1000,0.0000
1775306316993,Laying,0.0000,0.0000,0.0000
1775306317009,Laying,-0.1000,0.1000,0.0000
1775306317026,Laying,-0.1000,0.2000,0.0000
1775306317043,Laying,0.0000,0.0000,0.0000
1775306317061,Laying,-0.1000,0.1000,0.0000
1775306317076,Laying,0.0000,0.0000,0.0000
1775306317092,Laying,0.0000,-0.2000,0.0000
1775306317109,Laying,-0.1000,-0.2000,0.2000
1775306317126,Laying,0.1000,0.0000,0.0000
1775306317142,Laying,0.0000,0.0000,0.0000
1775306317159,Laying,-0.1000,0.0000,0.0000
1775306317176,Laying,-0.2000,0.0000,-0.2000
1775306317192,Laying,-0.2000,0.2000,-0.1000
1775306317209,Laying,0.1000,0.0000,0.0000
1775306317226,Laying,0.0000,-0.1000,0.0000
1775306317243,Laying,0.1000,0.2000,0.2000
1775306317259,Laying,0.0000,0.1000,0.1000
1775306317276,Laying,0.0000,0.0000,0.0000
1775306317292,Laying,0.0000,0.0000,0.0000
1775306317309,Laying,0.1000,-0.1000,0.0000
1775306317326,Laying,0.1000,-0.2000,0.0000
1775306317342,Laying,-0.1000,-0.1000,0.1000
1775306317359,Laying,-0.1000,0.2000,0.1000
1775306317376,Laying,0.0000,0.2000,0.0000
1775306317392,Laying,-0.1000,0.1000,0.0000
1775306317409,Laying,-0.1000,0.0000,0.0000
1775306317426,Laying,-0.1000,-0.1000,0.1000
1775306317442,Laying,-0.1000,-0.1000,0.0000
1775306317459,Laying,0.0000,0.0000,0.0000
1775306317476,Laying,0.0000,0.0000,0.0000
1775306317493,Laying,-0.1000,0.1000,0.0000
1775306317509,Laying,-0.1000,0.1000,0.0000
1775306317526,Laying,0.0000,0.1000,0.1000
1775306317542,Laying,0.1000,0.0000,0.1000
1775306317559,Laying,0.1000,-0.1000,0.1000
1775306317576,Laying,0.1000,0.0000,0.1000
1775306317592,Laying,0.0000,0.1000,0.1000
1775306317609,Laying,-0.1000,0.1000,0.1000
1775306317626,Laying,-0.1000,0.0000,0.0000
1775306317642,Laying,0.0000,-0.1000,0.0000
1775306317659,Laying,0.0000,-0.2000,0.0000
1775306317676,Laying,0.1000,0.0000,0.0000
1775306317692,Laying,0.1000,0.0000,-0.1000
1775306317709,Laying,0.1000,0.1000,-0.1000
1775306317726,Laying,0.1000,0.1000,0.0000
1775306317742,Laying,0.0000,0.1000,0.1000
1775306317760,Laying,-0.1000,0.0000,0.2000
1775306317776,Laying,-0.2000,-0.2000,0.2000
1775306317793,Laying,-0.3000,-0.2000,0.2000
1775306317809,Laying,-0.3000,0.0000,0.1000
1775306317826,Laying,-0.3000,0.2000,0.0000
1775306317842,Laying,-0.2000,0.3000,0.0000
1775306317859,Laying,0.1000,0.1000,0.0000
1775306317876,Laying,0.1000,0.1000,0.0000
1775306317893,Laying,0.2000,0.2000,0.0000
1775306317909,Laying,0.2000,0.2000,0.1000
1775306317926,Laying,0.0000,0.2000,0.2000
1775306317943,Laying,-0.2000,0.0000,0.2000
1775306317959,Laying,-0.5000,-0.2000,0.0000
1775306317976,Laying,-0.5000,-0.2000,-0.1000
1775306317992,Laying,-0.3000,-0.1000,-0.2000
1775306318009,Laying,-0.1000,0.0000,-0.2000
1775306318026,Laying,0.0000,0.0000,-0.1000
1775306318042,Laying,0.0000,-0.1000,0.0000
1775306318059,Laying,0.1000,-0.1000,0.1000
1775306318076,Laying,0.3000,-0.1000,0.0000
1775306318092,Laying,0.2000,0.0000,-0.1000
1775306318109,Laying,0.1000,0.1000,-0.1000
1775306318126,Laying,0.0000,0.1000,-0.1000
1775306318143,Laying,0.0000,0.0000,0.0000
1775306318159,Laying,0.1000,-0.2000,0.0000
1775306318176,Laying,0.4000,-0.3000,-0.1000
1775306318192,Laying,0.4000,-0.3000,-0.1000
1775306318209,Laying,0.4000,-0.2000,-0.1000
1775306318226,Laying,0.3000,-0.1000,0.0000
1775306318242,Laying,0.3000,0.0000,0.0000
