timestamp,activity,acc_x,acc_y,acc_z
1775305761770,Standing,-0.2000,0.0000,-0.2000
1775305761781,Standing,-0.1000,0.1000,-0.2000
1775305761798,Standing,0.2000,0.0000,-0.1000
1775305761814,Standing,0.3000,0.0000,0.0000
1775305761831,Standing,0.0000,-0.1000,0.1000
1775305761848,Standing,-0.1000,-0.1000,0.1000
1775305761864,Standing,-0.1000,0.0000,0.1000
1775305761881,Standing,0.0000,0.0000,0.0000
1775305761898,Standing,0.0000,0.0000,-0.1000
1775305761915,Standing,0.0000,0.0000,-0.1000
1775305761931,Standing,0.0000,0.0000,-0.1000
1775305761948,Standing,-0.1000,-0.1000,0.1000
1775305761965,Standing,0.0000,0.0000,0.0000
1775305761981,Standing,0.0000,0.0000,-0.1000
1775305761998,Standing,0.0000,0.0000,-0.1000
1775305762015,Standing,-0.1000,0.0000,0.0000
1775305762031,Standing,-0.1000,0.0000,0.0000
1775305762048,Standing,0.0000,0.0000,0.0000
1775305762065,Standing,0.0000,0.0000,-0.1000
1775305762081,Standing,0.0000,0.0000,-0.1000
1775305762098,Standing,0.0000,0.0000,-0.1000
1775305762115,Standing,0.0000,-0.1000,0.0000
1775305762131,Standing,0.0000,0.0000,0.1000
1775305762148,Standing,0.0000,0.0000,0.1000
1775305762165,Standing,0.1000,0.0000,0.0000
1775305762181,Standing,0.0000,0.0000,-0.1000
1775305762198,Standing,0.0000,0.0000,-0.1000
1775305762215,Standing,0.0000,0.0000,0.0000
1775305762231,Standing,0.0000,0.0000,0.0000
1775305762248,Standing,0.0000,0.0000,0.0000
1775305762264,Standing,0.0000,0.0000,0.0000
1775305762281,Standing,0.0000,0.0000,0.1000
1775305762298,Standing,0.0000,0.0000,0.0000
1775305762315,Standing,-0.1000,0.0000,0.0000
1775305762331,Standing,0.0000,0.1000,-0.1000
1775305762348,Standing,0.0000,0.0000,-0.1000
1775305762365,Standing,-0.1000,0.0000,-0.1000
1775305762381,Standing,0.0000,0.0000,0.0000
1775305762398,Standing,0.0000,0.0000,0.1000
1775305762415,Standing,0.0000,0.0000,0.1000
1775305762431,Standing,-0.1000,0.1000,0.0000
1775305762448,Standing,-0.1000,0.1000,0.0000
1775305762464,Standing,0.1000,0.0000,0.1000
1775305762481,Standing,0.1000,0.0000,0.1000
1775305762498,Standing,0.0000,0.0000,0.1000
1775305762514,Standing,-0.1000,0.0000,0.0000
1775305762531,Standing,-0.1000,0.0000,0.1000
1775305762548,Standing,-0.1000,0.0000,0.1000
1775305762565,Standing,0.0000,0.0000,0.0000
1775305762581,Standing,0.0000,0.0000,0.0000
1775305762598,Standing,0.0000,0.0000,0.0000
1775305762615,Standing,0.1000,0.0000,0.0000
1775305762631,Standing,0.1000,0.0000,0.0000
1775305762648,Standing,0.1000,0.0000,0.0000
1775305762665,Standing,0.1000,0.0000,-0.1000
1775305762681,Standing,0.0000,-0.1000,-0.1000
1775305762698,Standing,0.0000,-0.1000,-0.1000
1775305762714,Standing,0.0000,0.1000,-0.1000
1775305762731,Standing,0.0000,0.1000,0.0000
1775305762748,Standing,0.0000,0.0000,-0.1000
1775305762765,Standing,0.1000,0.0000,-0.1000
1775305762781,Standing,0.1000,0.0000,0.0000
1775305762798,Standing,0.1000,0.0000,0.0000
1775305762814,Standing,0.1000,0.0000,0.0000
1775305762831,Standing,0.1000,-0.1000,0.0000
1775305762848,Standing,-0.1000,-0.1000,0.0000
1775305762864,Standing,-0.1000,0.0000,-0.1000
1775305762881,Standing,-0.1000,0.1000,0.0000
1775305762898,Standing,0.0000,0.0000,0.0000
1775305762914,Standing,0.0000,0.1000,-0.1000
1775305762932,Standing,0.1000,0.0000,0.0000
1775305762948,Standing,0.1000,-0.1000,-0.1000
1775305762964,Standing,0.0000,0.0000,0.0000
1775305762983,Standing,-0.1000,0.0000,0.0000
1775305762998,Standing,0.0000,0.0000,-0.1000
1775305763016,Standing,0.0000,0.0000,-0.1000
1775305763031,Standing,-0.1000,0.0000,0.0000
1775305763048,Standing,-0.1000,0.0000,0.1000
1775305763064,Standing,-0.2000,0.1000,0.1000
1775305763081,Standing,0.0000,0.1000,0.0000
1775305763099,Standing,0.1000,0.0000,0.1000
1775305763114,Standing,0.1000,-0.1000,0.2000
1775305763131,Standing,-0.1000,0.0000,0.2000
1775305763148,Standing,-0.2000,0.0000,0.0000
1775305763164,Standing,-0.1000,0.0000,0.0000
1775305763181,Standing,0.1000,0.0000,0.1000
1775305763198,Standing,0.0000,0.1000,-0.1000
1775305763215,Standing,0.0000,0.0000,-0.1000
1775305763231,Standing,0.0000,0.0000,-0.1000
1775305763248,Standing,0.1000,0.0000,0.1000
1775305763264,Standing,0.0000,0.0000,0.1000
1775305763281,Standing,-0.1000,0.0000,-0.1000
1775305763298,Standing,0.0000,0.0000,-0.1000
1775305763315,Standing,0.1000,0.0000,-0.1000
1775305763331,Standing,0.1000,0.1000,-0.1000
1775305763348,Standing,0.1000,0.0000,-0.1000
1775305763364,Standing,0.1000,0.0000,-0.1000
1775305763381,Standing,0.0000,0.0000,0.0000
1775305763398,Standing,0.0000,0.0000,-0.1000
1775305763415,Standing,0.1000,0.0000,-0.2000
1775305763431,Standing,0.2000,0.0000,-0.1000
1775305763448,Standing,0.2000,0.0000,-0.1000
1775305763464,Standing,0.1000,0.0000,-0.1000
1775305763481,Standing,0.0000,-0.1000,0.0000
1775305763498,Standing,-0.1000,-0.1000,0.0000
1775305763514,Standing,-0.1000,0.0000,0.0000
1775305763531,Standing,-0.1000,0.1000,-0.1000
1775305763548,Standing,-0.1000,0.1000,-0.2000
1775305763564,Standing,-0.1000,0.1000,-0.2000
1775305763581,Standing,0.1000,0.0000,0.1000
1775305763598,Standing,0.0000,0.0000,0.0000
1775305763614,Standing,-0.1000,0.1000,-0.2000
1775305763631,Standing,-0.1000,0.1000,-0.2000
1775305763648,Standing,0.0000,0.1000,-0.1000
1775305763664,Standing,0.1000,0.0000,0.0000
1775305763681,Standing,0.1000,-0.1000,0.1000
1775305763698,Standing,-0.1000,0.0000,0.0000
1775305763714,Standing,-0.1000,0.0000,-0.1000
1775305763731,Standing,-0.1000,0.1000,0.0000
1775305763748,Standing,-0.1000,0.0000,0.1000
1775305763764,Standing,-0.1000,-0.1000,0.1000
1775305763781,Standing,-0.1000,0.0000,0.2000
1775305763798,Standing,-0.2000,0.0000,0.0000
1775305763814,Standing,-0.1000,0.0000,0.0000
1775305763831,Standing,0.0000,0.0000,0.0000
1775305763848,Standing,0.0000,0.0000,0.0000
1775305763864,Standing,-0.1000,0.0000,-0.1000
1775305763881,Standing,-0.1000,0.0000,-0.1000
1775305763898,Standing,0.1000,0.0000,0.0000
1775305763914,Standing,0.0000,0.0000,-0.1000
1775305763931,Standing,0.0000,0.0000,-0.1000
1775305763948,Standing,0.0000,0.1000,-0.2000
1775305763964,Standing,0.1000,0.0000,-0.2000
1775305763981,Standing,0.1000,0.0000,-0.1000
1775305763998,Standing,0.1000,0.0000,-0.1000
1775305764014,Standing,-0.1000,0.1000,0.0000
1775305764031,Standing,-0.1000,0.0000,0.0000
1775305764048,Standing,-0.1000,-0.1000,0.0000
1775305764065,Standing,0.0000,0.0000,0.1000
1775305764081,Standing,0.0000,0.0000,0.0000
1775305764098,Standing,0.1000,-0.1000,0.1000
1775305764114,Standing,0.0000,0.0000,0.1000
1775305764131,Standing,0.0000,0.0000,0.0000
1775305764148,Standing,-0.1000,0.0000,-0.1000
1775305764164,Standing,0.0000,0.0000,-0.1000
1775305764181,Standing,0.0000,0.0000,-0.1000
1775305764198,Standing,0.0000,0.0000,-0.1000
1775305764214,Standing,0.0000,0.0000,0.0000
1775305764231,Standing,0.0000,0.0000,0.0000
1775305764248,Standing,0.0000,0.0000,0.0000
1775305764264,Standing,0.0000,0.0000,0.1000
1775305764281,Standing,0.0000,0.1000,0.1000
1775305764298,Standing,0.0000,0.0000,0.1000
1775305764314,Standing,0.0000,0.0000,0.1000
1775305764331,Standing,0.0000,0.0000,-0.1000
