timestamp,activity,acc_x,acc_y,acc_z
1775305996972,Walking,0.0000,0.0000,0.1000
1775305996988,Walking,-0.3000,0.3000,-0.4000
1775305997005,Walking,-0.2000,0.1000,-0.1000
1775305997022,Walking,0.1000,0.0000,0.2000
1775305997038,Walking,0.2000,-0.1000,0.3000
1775305997055,Walking,0.1000,-0.1000,0.2000
1775305997072,Walking,0.0000,0.0000,-0.1000
1775305997088,Walking,-0.1000,0.2000,-0.1000
1775305997105,Walking,0.1000,0.1000,0.1000
1775305997122,Walking,0.2000,0.0000,0.2000
1775305997138,Walking,0.1000,0.0000,0.1000
1775305997155,Walking,-0.1000,0.1000,-0.2000
1775305997172,Walking,-0.2000,0.0000,-0.1000
1775305997188,Walking,-0.2000,0.1000,0.0000
1775305997205,Walking,0.1000,0.0000,0.2000
1775305997222,Walking,0.1000,-0.1000,0.2000
1775305997239,Walking,-0.3000,0.0000,-0.1000
1775305997255,Walking,-0.3000,0.0000,0.0000
1775305997272,Walking,-0.2000,0.0000,0.1000
1775305997289,Walking,0.1000,-0.1000,0.2000
1775305997305,Walking,0.2000,-0.1000,0.3000
1775305997322,Walking,0.1000,0.0000,0.4000
1775305997339,Walking,0.1000,0.1000,0.4000
1775305997355,Walking,0.0000,0.1000,0.4000
1775305997372,Walking,-0.2000,0.2000,0.3000
1775305997388,Walking,-0.5000,0.0000,0.1000
1775305997405,Walking,-0.4000,0.3000,-0.1000
1775305997422,Walking,0.1000,0.5000,0.6000
1775305997438,Walking,0.3000,0.4000,0.9000
1775305997455,Walking,0.6000,0.1000,0.8000
1775305997472,Walking,0.4000,0.1000,0.2000
1775305997488,Walking,0.4000,-0.2000,-0.2000
1775305997505,Walking,0.2000,0.1000,-0.2000
1775305997522,Walking,0.5000,0.1000,0.0000
1775305997539,Walking,0.5000,0.2000,0.2000
1775305997555,Walking,0.4000,0.2000,-0.1000
1775305997572,Walking,0.5000,-0.1000,-0.2000
1775305997588,Walking,0.3000,0.1000,-0.4000
1775305997605,Walking,0.2000,-0.1000,-0.5000
1775305997622,Walking,-0.3000,0.1000,-0.1000
1775305997639,Walking,-0.4000,0.3000,0.0000
1775305997655,Walking,-0.4000,0.2000,-0.1000
1775305997672,Walking,-0.2000,0.0000,-0.1000
1775305997689,Walking,0.0000,0.0000,-0.1000
1775305997705,Walking,0.1000,0.0000,-0.2000
1775305997722,Walking,0.4000,-0.1000,-0.1000
1775305997738,Walking,0.4000,-0.2000,0.0000
1775305997755,Walking,0.4000,-0.1000,0.0000
1775305997772,Walking,0.3000,0.2000,-0.2000
1775305997789,Walking,0.1000,0.0000,-0.2000
1775305997805,Walking,0.0000,-0.6000,0.0000
1775305997822,Walking,-0.7000,-0.2000,0.0000
1775305997839,Walking,-0.9000,0.0000,0.2000
1775305997855,Walking,-1.0000,0.0000,0.2000
1775305997872,Walking,-1.0000,0.0000,0.1000
1775305997888,Walking,-1.1000,0.1000,0.1000
1775305997905,Walking,-1.1000,0.1000,0.0000
1775305997922,Walking,-1.0000,-0.1000,-0.3000
1775305997939,Walking,-0.9000,-0.1000,-0.5000
1775305997955,Walking,-0.6000,-0.1000,-0.5000
1775305997972,Walking,-0.3000,-0.1000,-0.5000
1775305997989,Walking,0.0000,-0.1000,-0.4000
1775305998005,Walking,0.2000,0.0000,-0.3000
1775305998022,Walking,0.1000,-0.1000,0.0000
1775305998038,Walking,-0.1000,-0.2000,0.1000
1775305998055,Walking,-0.4000,-0.2000,0.1000
1775305998072,Walking,-0.6000,-0.2000,0.0000
1775305998088,Walking,-0.9000,-0.1000,-0.2000
1775305998105,Walking,-1.0000,-0.1000,-0.5000
1775305998122,Walking,-0.9000,-0.1000,-0.7000
1775305998138,Walking,-0.7000,-0.1000,-0.7000
1775305998155,Walking,-0.3000,-0.1000,-1.0000
1775305998172,Walking,-0.1000,0.0000,-1.3000
1775305998189,Walking,0.2000,-0.1000,-1.4000
1775305998205,Walking,0.3000,-0.2000,-1.2000
1775305998222,Walking,0.2000,-0.4000,-0.9000
1775305998238,Walking,-0.8000,-0.4000,-1.2000
1775305998255,Walking,-1.2000,-0.2000,-1.3000
1775305998272,Walking,-1.3000,-0.1000,-1.3000
1775305998289,Walking,-0.9000,-0.1000,-1.6000
1775305998305,Walking,-0.3000,-0.1000,-1.2000
1775305998322,Walking,0.0000,0.0000,-0.8000
1775305998339,Walking,-0.1000,-0.4000,-0.9000
1775305998355,Walking,0.0000,-0.8000,-1.3000
1775305998372,Walking,0.4000,-1.3000,-1.6000
1775305998389,Walking,1.1000,-1.4000,-1.2000
1775305998405,Walking,1.2000,-1.1000,-0.3000
1775305998422,Walking,1.0000,-0.6000,0.2000
1775305998439,Walking,-0.5000,-0.8000,1.1000
1775305998455,Walking,-1.4000,-0.9000,1.3000
1775305998472,Walking,-2.2000,-0.8000,1.4000
1775305998489,Walking,-2.8000,-0.4000,1.1000
1775305998505,Walking,-2.9000,0.2000,0.9000
1775305998522,Walking,-2.4000,0.7000,1.2000
1775305998539,Walking,-0.7000,0.6000,1.7000
1775305998555,Walking,-0.8000,0.5000,1.6000
1775305998572,Walking,-1.6000,0.6000,0.8000
1775305998589,Walking,-2.1000,0.4000,0.4000
1775305998606,Walking,-2.4000,0.1000,-0.1000
1775305998622,Walking,-2.3000,0.0000,-2.2000
1775305998639,Walking,-0.7000,0.4000,-2.0000
1775305998655,Walking,-0.5000,0.6000,-1.9000
1775305998672,Walking,-0.1000,0.7000,-2.3000
1775305998689,Walking,0.4000,0.9000,-2.4000
1775305998705,Walking,1.0000,1.1000,-1.4000
1775305998722,Walking,1.3000,1.0000,-0.9000
1775305998739,Walking,1.3000,0.6000,-0.9000
1775305998755,Walking,0.5000,0.0000,-1.2000
1775305998772,Walking,0.2000,-0.1000,-1.3000
1775305998789,Walking,0.4000,-0.1000,-1.2000
1775305998805,Walking,0.5000,-0.2000,-0.9000
