timestamp,activity,acc_x,acc_y,acc_z
1775352986050,Running,-0.4000,0.2000,0.3000
1775352986051,Running,-0.4000,0.2000,0.3000
1775352986068,Running,-0.4000,0.2000,0.2000
1775352986084,Running,-0.3000,0.3000,0.2000
1775352986101,Running,-0.2000,0.1000,0.1000
1775352986118,Running,0.0000,0.0000,0.1000
1775352986134,Running,-0.3000,0.0000,0.2000
1775352986151,Running,-0.5000,0.1000,0.3000
1775352986168,Running,-0.5000,0.2000,0.1000
1775352986184,Running,-0.4000,0.2000,0.2000
1775352986201,Running,-0.2000,0.2000,0.2000
1775352986217,Running,-0.3000,0.1000,0.4000
1775352986234,Running,-0.6000,0.2000,0.4000
1775352986251,Running,-1.0000,0.0000,0.5000
1775352986268,Running,-1.0000,0.0000,0.3000
1775352986284,Running,-1.3000,0.0000,0.6000
1775352986301,Running,-1.1000,-0.4000,0.9000
1775352986318,Running,-0.9000,-0.6000,0.7000
1775352986334,Running,-0.4000,-0.1000,0.2000
1775352986351,Running,-0.6000,0.8000,-0.1000
1775352986368,Running,-1.3000,1.6000,-0.3000
1775352986384,Running,-0.4000,0.2000,0.1000
1775352986401,Running,0.3000,-0.7000,-0.2000
1775352986418,Running,0.5000,-0.1000,-1.1000
1775352986434,Running,0.6000,0.1000,-1.1000
1775352986451,Running,0.6000,-0.3000,-0.9000
1775352986468,Running,-0.1000,-0.3000,-1.0000
1775352986484,Running,-1.2000,-0.4000,-0.9000
1775352986501,Running,-2.1000,-0.3000,-0.7000
1775352986518,Running,-3.7000,-1.2000,-1.2000
1775352986534,Running,-2.6000,0.3000,0.6000
1775352986551,Running,-2.5000,0.6000,0.4000
1775352986568,Running,-2.7000,0.5000,0.6000
1775352986600,Running,-1.9000,0.3000,1.2000
1775352986617,Running,-1.3000,-0.8000,1.1000
1775352986634,Running,-0.7000,-0.4000,1.4000
1775352986651,Running,-2.6000,2.0000,2.0000
1775352986668,Running,-4.8000,3.2000,2.1000
1775352986684,Running,-4.5000,1.4000,1.5000
1775352986701,Running,-4.2000,1.5000,1.3000
1775352986718,Running,-3.3000,1.5000,2.0000
1775352986734,Running,-1.0000,0.7000,-0.4000
1775352986751,Running,0.1000,-0.4000,0.8000
1775352986768,Running,-0.2000,-1.4000,0.0000
1775352986784,Running,1.9000,-3.9000,2.0000
1775352986801,Running,3.8000,-5.2000,-0.5000
1775352986818,Running,2.0000,-4.9000,-10.9000
1775352986834,Running,-1.2000,-4.3000,-11.8000
1775352986851,Running,-3.3000,-6.5000,5.3000
1775352986868,Running,-2.5000,-4.9000,2.5000
1775352986884,Running,-0.3000,-4.5000,-0.6000
1775352986901,Running,0.8000,-3.8000,-2.3000
1775352986918,Running,0.6000,-1.9000,-2.0000
1775352986934,Running,0.1000,0.0000,-0.8000
1775352986951,Running,0.7000,1.8000,0.0000
1775352986968,Running,2.0000,2.1000,-1.8000
1775352986984,Running,2.1000,3.8000,-2.7000
1775352987001,Running,2.3000,5.3000,-2.6000
1775352987018,Running,2.5000,6.2000,-2.2000
1775352987035,Running,1.6000,7.6000,-0.6000
1775352987051,Running,-3.4000,8.1000,0.3000
1775352987068,Running,-5.1000,7.6000,1.5000
1775352987085,Running,-3.7000,6.8000,-0.5000
1775352987101,Running,-0.2000,6.6000,-2.9000
1775352987118,Running,2.3000,6.7000,0.1000
1775352987135,Running,6.6000,0.5000,10.5000
1775352987151,Running,10.0000,-6.2000,2.3000
1775352987168,Running,10.8000,-6.5000,7.0000
1775352987184,Running,8.1000,-5.4000,-3.8000
1775352987201,Running,6.3000,-6.4000,-9.3000
1775352987218,Running,2.2000,-5.6000,-10.3000
1775352987235,Running,-1.9000,-5.2000,-7.4000
1775352987251,Running,-4.3000,-5.3000,-3.9000
1775352987268,Running,-4.1000,-12.0000,2.4000
1775352987284,Running,-4.0000,-14.9000,4.9000
1775352987301,Running,-4.8000,-5.9000,3.3000
1775352987318,Running,-4.5000,-0.6000,2.3000
1775352987334,Running,-2.1000,0.7000,-0.5000
1775352987351,Running,0.6000,1.1000,-2.0000
1775352987368,Running,1.8000,4.8000,1.8000
1775352987385,Running,0.4000,5.7000,2.3000
1775352987401,Running,-2.3000,5.7000,2.3000
1775352987418,Running,-4.2000,5.9000,3.0000
1775352987434,Running,-4.6000,6.1000,3.7000
1775352987451,Running,-3.9000,6.0000,3.9000
1775352987468,Running,-3.3000,4.0000,5.1000
1775352987484,Running,-3.8000,3.0000,4.8000
1775352987501,Running,-3.2000,-0.2000,1.2000
1775352987518,Running,-1.0000,-4.7000,-5.1000
1775352987535,Running,1.6000,-10.1000,-3.0000
1775352987552,Running,2.6000,-13.6000,-1.5000
1775352987568,Running,2.5000,-10.2000,-1.1000
1775352987584,Running,2.1000,-6.8000,-0.5000
1775352987601,Running,2.9000,-5.9000,-2.6000
1775352987618,Running,2.3000,-5.3000,-4.1000
1775352987635,Running,0.2000,-4.1000,-4.2000
1775352987651,Running,-0.8000,-3.1000,-4.0000
1775352987668,Running,1.2000,0.5000,-1.9000
1775352987684,Running,2.3000,2.7000,-2.6000
1775352987701,Running,3.5000,4.8000,-3.4000
1775352987718,Running,4.0000,7.2000,-4.0000
1775352987734,Running,3.7000,9.9000,-4.1000
1775352987751,Running,3.6000,11.5000,-4.6000
1775352987768,Running,3.3000,10.4000,-3.6000
1775352987784,Running,-0.6000,8.3000,10.2000
1775352987801,Running,-2.8000,6.5000,14.4000
1775352987818,Running,-7.3000,5.5000,2.6000
1775352987834,Running,-11.5000,2.1000,-0.3000
1775352987851,Running,-2.8000,-3.4000,-0.2000
1775352987868,Running,7.0000,-1.9000,-13.3000
1775352987884,Running,14.5000,-5.8000,-10.0000
1775352987901,Running,18.6000,-11.7000,-5.1000
1775352987918,Running,16.8000,-12.3000,1.3000
1775352987934,Running,7.6000,-7.7000,1.1000
1775352987951,Running,3.4000,-5.8000,-0.9000
1775352987968,Running,1.2000,-5.3000,-5.6000
1775352987984,Running,-3.8000,-6.7000,-2.5000
1775352988001,Running,-5.3000,-7.6000,2.3000
1775352988018,Running,-5.0000,-6.7000,5.1000
1775352988034,Running,-5.0000,-3.8000,4.8000
1775352988051,Running,-4.1000,-1.4000,2.5000
1775352988068,Running,-2.7000,0.6000,0.5000
1775352988084,Running,0.4000,2.6000,3.5000
1775352988101,Running,0.7000,2.2000,5.3000
1775352988118,Running,-0.6000,2.2000,5.0000
1775352988135,Running,-3.0000,4.6000,4.7000
1775352988151,Running,-6.8000,8.8000,3.7000
1775352988168,Running,-9.9000,11.7000,2.3000
1775352988185,Running,-5.2000,7.7000,7.1000
1775352988201,Running,-3.2000,5.2000,6.8000
1775352988218,Running,-3.4000,0.9000,3.9000
1775352988234,Running,-2.1000,-3.8000,-0.2000
1775352988251,Running,0.4000,-7.8000,-7.1000
1775352988268,Running,5.3000,-13.8000,-9.1000
1775352988284,Running,6.4000,-16.1000,-5.8000
1775352988301,Running,5.3000,-11.0000,-0.7000
1775352988318,Running,3.6000,-8.2000,0.8000
1775352988335,Running,1.0000,-3.5000,-1.5000
1775352988351,Running,5.2000,-7.0000,-3.6000
1775352988368,Running,3.5000,-4.6000,-3.4000
1775352988384,Running,1.4000,-1.9000,-4.4000
1775352988401,Running,1.9000,0.3000,-4.0000
1775352988418,Running,2.6000,2.4000,-3.3000
1775352988435,Running,3.0000,5.4000,-3.5000
1775352988451,Running,3.0000,8.5000,-4.4000
1775352988468,Running,3.2000,9.9000,-5.3000
1775352988484,Running,3.5000,9.8000,-5.9000
1775352988501,Running,2.4000,8.3000,-0.2000
1775352988518,Running,0.1000,8.9000,9.3000
1775352988535,Running,-4.1000,7.7000,8.1000
1775352988551,Running,-7.7000,7.4000,-3.5000
1775352988568,Running,-5.8000,4.0000,-2.5000
1775352988584,Running,3.5000,-1.4000,7.7000
1775352988601,Running,8.9000,-4.2000,3.2000
1775352988618,Running,9.9000,-5.4000,-13.0000
1775352988635,Running,10.6000,-6.4000,-10.1000
1775352988652,Running,11.3000,-8.2000,-3.6000
1775352988668,Running,8.3000,-7.9000,-0.9000
1775352988684,Running,4.7000,-6.8000,-2.3000
1775352988701,Running,0.4000,-7.1000,-6.8000
1775352988718,Running,-1.2000,-8.8000,-6.2000
1775352988734,Running,-3.0000,-10.0000,-3.3000
1775352988752,Running,-5.7000,-9.8000,0.5000
1775352988768,Running,-6.2000,-7.8000,5.3000
1775352988785,Running,-5.6000,-4.7000,9.3000
1775352988801,Running,-4.6000,-0.2000,9.4000
1775352988818,Running,-2.4000,3.9000,3.3000
1775352988835,Running,-2.4000,5.9000,2.8000
1775352988851,Running,-3.0000,7.1000,2.7000
1775352988868,Running,-4.2000,7.0000,4.4000
1775352988884,Running,-5.5000,7.0000,5.6000
1775352988901,Running,-6.7000,8.2000,4.1000
1775352988918,Running,-9.2000,9.7000,3.7000
1775352988934,Running,-6.6000,7.5000,6.9000
1775352988951,Running,-3.7000,4.8000,3.3000
1775352988968,Running,-3.3000,0.0000,-5.1000
1775352988984,Running,-5.5000,-5.0000,-10.5000
1775352989001,Running,-5.0000,-12.2000,-12.9000
1775352989018,Running,7.8000,-27.0000,-9.9000
1775352989034,Running,8.2000,-15.0000,-0.5000
1775352989051,Running,7.9000,-7.4000,4.7000
1775352989068,Running,7.4000,-6.0000,3.2000
1775352989085,Running,3.9000,-3.9000,-1.5000
1775352989101,Running,-0.4000,-2.9000,-4.9000
1775352989118,Running,0.7000,-3.2000,-2.6000
1775352989134,Running,3.3000,-1.2000,-1.9000
1775352989151,Running,5.1000,2.0000,-2.7000
1775352989168,Running,6.7000,5.7000,-4.0000
1775352989185,Running,8.3000,8.9000,-5.2000
1775352989201,Running,9.0000,10.5000,-6.1000
1775352989218,Running,4.4000,9.6000,-2.4000
1775352989234,Running,1.4000,8.6000,2.8000
1775352989251,Running,-4.9000,8.3000,3.1000
1775352989268,Running,-10.5000,6.0000,-2.6000
1775352989284,Running,-12.0000,3.9000,-6.8000
1775352989301,Running,-6.7000,2.7000,-8.0000
1775352989318,Running,0.0000,2.4000,5.9000
1775352989334,Running,13.1000,-5.0000,-5.8000
1775352989351,Running,13.6000,-8.7000,-11.8000
1775352989368,Running,11.3000,-7.3000,-11.2000
1775352989384,Running,10.6000,-7.7000,-8.0000
1775352989401,Running,6.9000,-8.8000,-1.7000
1775352989418,Running,1.4000,-10.1000,3.7000
1775352989434,Running,-6.5000,-9.4000,-5.8000
1775352989451,Running,-7.0000,-11.6000,-6.2000
1775352989468,Running,-7.2000,-11.2000,-0.6000
1775352989484,Running,-6.2000,-7.3000,6.6000
1775352989501,Running,-2.9000,-3.5000,8.0000
1775352989518,Running,-0.5000,-0.4000,4.8000
1775352989534,Running,0.9000,6.6000,1.7000
1775352989551,Running,0.4000,9.0000,2.1000
1775352989568,Running,-1.4000,8.3000,3.1000
1775352989584,Running,-3.6000,8.2000,3.6000
1775352989601,Running,-5.3000,9.0000,3.4000
1775352989618,Running,-6.5000,10.0000,1.6000
1775352989635,Running,-4.8000,6.2000,1.8000
1775352989651,Running,-0.2000,2.2000,1.7000
1775352989668,Running,4.9000,-1.6000,-2.3000
1775352989684,Running,10.3000,-9.9000,-7.0000
1775352989701,Running,9.2000,-14.8000,-7.1000
1775352989718,Running,3.0000,-10.0000,-6.2000
1775352989734,Running,-0.4000,-9.5000,-5.8000
1775352989751,Running,-3.7000,-13.6000,0.3000
1775352989768,Running,-3.8000,-14.2000,1.9000
1775352989784,Running,-2.8000,-12.2000,2.8000
1775352989801,Running,-1.1000,-7.6000,1.9000
1775352989818,Running,0.6000,-2.6000,-0.9000
1775352989834,Running,2.9000,1.5000,-2.9000
1775352989851,Running,5.8000,7.7000,-5.5000
1775352989868,Running,4.5000,10.6000,-6.5000
1775352989884,Running,3.1000,12.0000,-8.7000
1775352989901,Running,2.1000,14.3000,-11.0000
1775352989918,Running,2.7000,13.8000,-1.5000
1775352989934,Running,-0.3000,13.1000,1.1000
1775352989951,Running,-2.9000,7.5000,-1.5000
1775352989968,Running,-4.2000,5.4000,2.7000
1775352989984,Running,-6.9000,3.8000,-6.5000
1775352990001,Running,-7.7000,4.1000,-10.9000
1775352990018,Running,-1.2000,1.4000,1.1000
1775352990034,Running,14.6000,-11.8000,49.3000
1775352990051,Running,12.0000,0.1000,-16.4000
1775352990068,Running,7.7000,-0.8000,-14.3000
1775352990084,Running,9.2000,-3.5000,0.8000
1775352990101,Running,6.5000,-8.1000,-0.8000
1775352990118,Running,-1.4000,-10.0000,0.1000
1775352990134,Running,-1.6000,-16.1000,-3.9000
1775352990151,Running,-2.0000,-15.2000,-5.4000
1775352990168,Running,2.7000,-8.1000,4.4000
1775352990184,Running,3.1000,-5.3000,8.2000
1775352990201,Running,1.2000,-3.4000,4.6000
1775352990218,Running,-0.5000,-0.5000,5.6000
1775352990234,Running,-1.3000,2.3000,5.6000
1775352990251,Running,-2.0000,5.7000,2.5000
1775352990268,Running,-8.0000,10.6000,3.3000
1775352990284,Running,-10.5000,12.7000,0.1000
1775352990301,Running,-10.7000,13.3000,-0.9000
1775352990318,Running,-7.4000,11.4000,-0.3000
1775352990334,Running,-1.8000,8.3000,2.3000
1775352990351,Running,0.5000,7.6000,4.7000
1775352990368,Running,6.8000,-2.1000,-8.4000
1775352990384,Running,6.3000,-6.0000,-8.4000
1775352990401,Running,3.7000,-7.1000,-5.7000
1775352990418,Running,3.3000,-8.5000,-3.1000
1775352990434,Running,3.8000,-10.0000,-1.4000
1775352990451,Running,4.6000,-12.1000,1.6000
1775352990468,Running,-1.1000,-12.4000,3.4000
1775352990484,Running,-2.6000,-12.3000,4.5000
1775352990501,Running,-2.4000,-10.5000,3.2000
1775352990518,Running,-2.0000,-6.4000,0.6000
1775352990535,Running,0.5000,-2.8000,-2.8000
1775352990551,Running,3.5000,0.4000,-6.1000
1775352990568,Running,8.4000,5.1000,-6.8000
1775352990584,Running,8.2000,7.0000,-6.5000
1775352990601,Running,7.6000,9.4000,-6.3000
1775352990618,Running,7.2000,12.2000,-6.5000
1775352990634,Running,5.2000,15.2000,-6.4000
1775352990652,Running,2.9000,16.5000,-8.7000
1775352990668,Running,2.8000,10.0000,1.7000
1775352990684,Running,-13.9000,0.4000,3.9000
1775352990701,Running,-19.3000,-1.8000,-14.4000
1775352990719,Running,-9.3000,-0.3000,-19.3000
1775352990734,Running,16.4000,-5.7000,15.3000
1775352990751,Running,17.9000,-3.4000,27.8000
1775352990768,Running,14.2000,-1.8000,-25.7000
1775352990784,Running,6.3000,-1.1000,-12.2000
1775352990801,Running,6.5000,-4.6000,-2.1000
1775352990818,Running,4.6000,-10.3000,17.4000
1775352990834,Running,5.8000,-11.5000,3.5000
1775352990851,Running,5.2000,-13.9000,-4.2000
1775352990867,Running,-1.8000,-16.6000,-6.6000
1775352990885,Running,-3.3000,-13.8000,-5.3000
1775352990901,Running,-2.1000,-11.1000,0.8000
1775352990917,Running,0.0000,-7.1000,11.5000
1775352990935,Running,2.3000,-2.9000,12.7000
1775352990951,Running,2.3000,0.0000,5.9000
1775352990967,Running,1.2000,2.7000,2.7000
1775352990984,Running,-3.6000,8.8000,3.5000
1775352991001,Running,-7.3000,10.3000,3.4000
1775352991018,Running,-9.1000,11.1000,1.2000
1775352991034,Running,-9.7000,11.9000,1.7000
1775352991051,Running,-7.6000,11.9000,4.8000
1775352991068,Running,-2.2000,11.4000,9.1000
1775352991084,Running,3.3000,8.3000,3.9000
1775352991101,Running,2.0000,4.4000,-4.8000
1775352991117,Running,-0.8000,-0.9000,-7.9000
1775352991134,Running,-1.5000,-7.7000,-5.0000
1775352991151,Running,0.6000,-14.1000,-2.8000
1775352991168,Running,3.8000,-20.0000,-3.9000
1775352991184,Running,8.2000,-17.7000,-4.8000
1775352991201,Running,5.6000,-13.9000,-1.3000
1775352991218,Running,-1.2000,-10.7000,2.1000
1775352991234,Running,-4.1000,-9.9000,2.3000
1775352991251,Running,-1.8000,-9.7000,1.7000
1775352991268,Running,2.1000,-6.7000,-0.7000
1775352991284,Running,4.4000,-2.0000,-2.0000
1775352991301,Running,8.4000,5.0000,-3.6000
1775352991318,Running,8.5000,7.5000,-3.6000
1775352991334,Running,7.6000,8.9000,-4.0000
1775352991351,Running,7.0000,9.5000,-3.1000
1775352991368,Running,5.4000,10.9000,-3.3000
1775352991384,Running,2.4000,13.6000,-4.0000
1775352991401,Running,-5.3000,12.1000,3.1000
1775352991418,Running,-8.3000,6.2000,-1.7000
1775352991434,Running,-10.3000,3.9000,-7.1000
1775352991451,Running,-4.9000,3.0000,-11.6000
1775352991468,Running,6.3000,-1.6000,10.1000
