timestamp,activity,acc_x,acc_y,acc_z
1775728198041,Walking,-0.4000,-9.7000,0.3000
1775728198053,Walking,-0.3000,-9.8000,0.2000
1775728198070,Walking,-0.2000,-9.9000,0.2000
1775728198086,Walking,-0.2000,-9.8000,0.3000
1775728198103,Walking,-0.3000,-9.7000,0.2000
1775728198120,Walking,-0.3000,-9.7000,0.1000
1775728198136,Walking,-0.2000,-9.6000,0.1000
1775728198153,Walking,-0.2000,-9.7000,0.2000
1775728198170,Walking,-0.2000,-9.8000,0.3000
1775728198186,Walking,-0.3000,-9.9000,0.3000
1775728198203,Walking,-0.3000,-9.9000,0.4000
1775728198220,Walking,-0.2000,-9.8000,0.3000
1775728198236,Walking,-0.2000,-9.7000,0.3000
1775728198253,Walking,-0.3000,-9.6000,0.2000
1775728198270,Walking,-0.4000,-9.7000,0.2000
1775728198286,Walking,-0.3000,-9.7000,0.4000
1775728198303,Walking,-0.3000,-9.7000,0.3000
1775728198320,Walking,-0.3000,-9.7000,0.2000
1775728198336,Walking,-0.2000,-9.8000,0.0000
1775728198353,Walking,0.0000,-9.9000,0.3000
1775728198370,Walking,0.0000,-9.7000,0.7000
1775728198387,Walking,-0.3000,-9.4000,0.4000
1775728198403,Walking,-0.5000,-9.6000,0.1000
1775728198420,Walking,-0.4000,-9.8000,0.1000
1775728198436,Walking,-0.3000,-9.8000,0.2000
1775728198453,Walking,0.0000,-9.9000,0.4000
1775728198470,Walking,-0.1000,-9.9000,0.4000
1775728198486,Walking,-0.2000,-9.8000,0.4000
1775728198503,Walking,-0.4000,-9.9000,0.5000
1775728198520,Walking,-0.5000,-9.7000,0.3000
1775728198536,Walking,-0.5000,-9.6000,0.6000
1775728198553,Walking,-0.3000,-9.5000,0.4000
1775728198570,Walking,0.0000,-9.8000,0.4000
1775728198587,Walking,0.1000,-9.8000,0.2000
1775728198603,Walking,0.1000,-9.9000,0.1000
1775728198620,Walking,0.2000,-9.7000,0.1000
1775728198636,Walking,0.4000,-9.7000,0.2000
1775728198653,Walking,0.6000,-9.7000,0.2000
1775728198670,Walking,0.2000,-10.0000,0.5000
1775728198686,Walking,0.2000,-10.1000,0.4000
1775728198703,Walking,0.3000,-10.2000,0.1000
1775728198720,Walking,0.7000,-10.4000,0.2000
1775728198736,Walking,0.7000,-10.1000,0.4000
1775728198754,Walking,0.2000,-9.7000,0.6000
1775728198769,Walking,0.1000,-9.8000,0.5000
1775728198786,Walking,0.0000,-9.9000,0.4000
1775728198803,Walking,0.0000,-9.9000,0.4000
1775728198820,Walking,0.1000,-9.9000,0.2000
1775728198836,Walking,0.1000,-9.8000,0.0000
1775728198853,Walking,0.2000,-9.6000,-0.1000
1775728198869,Walking,0.4000,-9.8000,0.3000
1775728198887,Walking,0.0000,-9.8000,0.7000
1775728198903,Walking,-0.2000,-9.9000,0.3000
1775728198920,Walking,-0.2000,-10.0000,0.3000
1775728198937,Walking,-0.6000,-9.3000,0.0000
1775728198953,Walking,-0.4000,-9.4000,0.3000
1775728198970,Walking,-0.5000,-9.5000,0.9000
1775728198986,Walking,-0.6000,-9.5000,1.0000
1775728199003,Walking,-0.5000,-9.8000,0.2000
1775728199020,Walking,-0.3000,-10.0000,-0.2000
1775728199036,Walking,-0.2000,-9.9000,-0.4000
1775728199053,Walking,-0.2000,-9.5000,0.4000
1775728199070,Walking,-0.1000,-9.4000,0.8000
1775728199087,Walking,0.0000,-10.2000,1.3000
1775728199103,Walking,-0.1000,-10.1000,-0.5000
1775728199120,Walking,-0.1000,-9.9000,-1.9000
1775728199136,Walking,0.2000,-9.6000,-1.0000
1775728199153,Walking,0.1000,-9.5000,0.2000
1775728199170,Walking,1.1000,-10.5000,0.2000
1775728199186,Walking,1.7000,-11.2000,-0.2000
1775728199203,Walking,1.7000,-11.0000,0.6000
1775728199222,Walking,0.7000,-10.2000,0.8000
1775728199236,Walking,-0.1000,-10.0000,0.3000
1775728199253,Walking,-0.2000,-10.0000,0.0000
1775728199270,Walking,-0.1000,-10.0000,-0.4000
1775728199286,Walking,1.2000,-10.0000,0.5000
1775728199303,Walking,1.9000,-9.8000,1.3000
1775728199320,Walking,1.5000,-9.2000,1.4000
1775728199337,Walking,1.4000,-9.6000,0.9000
1775728199353,Walking,0.7000,-9.8000,1.2000
1775728199370,Walking,0.2000,-9.7000,1.1000
1775728199386,Walking,-0.3000,-9.9000,1.3000
1775728199403,Walking,-0.6000,-10.3000,0.7000
1775728199420,Walking,-0.6000,-10.5000,1.9000
1775728199436,Walking,-0.2000,-10.7000,2.2000
1775728199453,Walking,-0.1000,-10.5000,2.2000
1775728199470,Walking,0.1000,-10.1000,2.2000
1775728199486,Walking,-0.1000,-9.5000,2.4000
1775728199504,Walking,-0.3000,-9.3000,2.4000
1775728199520,Walking,-0.5000,-9.3000,2.6000
1775728199536,Walking,-0.5000,-9.3000,3.1000
1775728199553,Walking,-0.4000,-9.6000,3.6000
1775728199570,Walking,-0.5000,-10.0000,4.1000
1775728199587,Walking,-0.9000,-10.4000,4.0000
1775728199603,Walking,-1.2000,-9.8000,2.8000
1775728199620,Walking,-1.0000,-9.1000,1.9000
1775728199637,Walking,-0.4000,-8.9000,2.0000
1775728199653,Walking,0.6000,-9.1000,3.2000
1775728199670,Walking,1.5000,-9.6000,5.1000
1775728199687,Walking,2.7000,-10.0000,5.3000
1775728199703,Walking,1.2000,-8.6000,-2.0000
1775728199720,Walking,-0.8000,-7.7000,-1.6000
1775728199736,Walking,-1.9000,-7.4000,0.3000
1775728199753,Walking,-1.0000,-8.0000,1.8000
1775728199770,Walking,0.6000,-8.7000,2.7000
1775728199787,Walking,1.5000,-8.7000,3.1000
1775728199803,Walking,1.2000,-7.6000,4.1000
1775728199820,Walking,0.8000,-7.8000,4.1000
1775728199836,Walking,0.2000,-8.3000,3.9000
1775728199853,Walking,-0.5000,-8.7000,3.8000
1775728199870,Walking,-0.8000,-8.9000,4.0000
1775728199886,Walking,-0.9000,-8.9000,4.4000
1775728199903,Walking,-0.4000,-8.9000,5.1000
1775728199920,Walking,-0.5000,-8.7000,4.8000
1775728199936,Walking,-0.6000,-8.5000,4.6000
1775728199953,Walking,-0.5000,-8.6000,5.1000
1775728199970,Walking,-0.7000,-8.6000,5.0000
1775728199987,Walking,-0.7000,-8.5000,4.9000
1775728200003,Walking,-0.5000,-8.2000,4.7000
1775728200020,Walking,-0.5000,-8.2000,4.7000
1775728200036,Walking,-0.2000,-8.4000,5.2000
1775728200053,Walking,-0.1000,-8.5000,4.8000
1775728200070,Walking,0.0000,-8.3000,4.4000
1775728200086,Walking,0.5000,-8.0000,4.2000
1775728200104,Walking,2.9000,-7.8000,4.6000
1775728200120,Walking,4.0000,-7.7000,4.6000
