timestamp,activity,acc_x,acc_y,acc_z
1775744504249,Sitting,-3.9000,-5.4000,6.9000
1775744504251,Sitting,-3.9000,-5.4000,6.9000
1775744504268,Sitting,-3.8000,-5.4000,6.9000
1775744504284,Sitting,-3.7000,-5.5000,7.0000
1775744504301,Sitting,-3.7000,-5.7000,7.2000
1775744504317,Sitting,-3.8000,-5.7000,7.3000
1775744504334,Sitting,-3.9000,-5.7000,7.1000
1775744504351,Sitting,-3.9000,-5.8000,7.1000
1775744504369,Sitting,-3.9000,-5.6000,7.0000
1775744504384,Sitting,-3.9000,-5.4000,7.1000
1775744504401,Sitting,-3.9000,-5.4000,7.1000
1775744504417,Sitting,-3.9000,-5.5000,7.1000
1775744504434,Sitting,-3.9000,-5.6000,7.1000
1775744504454,Sitting,-4.0000,-5.6000,7.1000
1775744504470,Sitting,-3.9000,-5.4000,7.0000
1775744504488,Sitting,-3.8000,-5.4000,7.1000
1775744504501,Sitting,-3.9000,-5.3000,7.0000
1775744504517,Sitting,-4.0000,-5.3000,7.0000
1775744504536,Sitting,-4.0000,-5.4000,6.9000
1775744504551,Sitting,-4.1000,-5.5000,6.9000
1775744504570,Sitting,-3.7000,-5.4000,6.9000
1775744504586,Sitting,-3.5000,-5.3000,6.8000
1775744504601,Sitting,-3.4000,-5.9000,8.0000
1775744504617,Sitting,-3.8000,-5.3000,7.6000
1775744504634,Sitting,-3.7000,-5.0000,7.2000
1775744504653,Sitting,-3.7000,-5.2000,6.9000
1775744504669,Sitting,-3.7000,-5.6000,7.0000
1775744504687,Sitting,-3.8000,-5.3000,7.3000
1775744504701,Sitting,-4.0000,-5.1000,7.2000
1775744504721,Sitting,-4.2000,-5.0000,6.9000
1775744504736,Sitting,-4.2000,-4.9000,7.0000
1775744504753,Sitting,-4.2000,-4.9000,7.0000
1775744504769,Sitting,-4.4000,-5.1000,7.1000
1775744504784,Sitting,-4.8000,-5.4000,6.8000
1775744504801,Sitting,-4.7000,-5.2000,7.0000
1775744504817,Sitting,-4.7000,-5.2000,6.8000
1775744504834,Sitting,-4.8000,-5.1000,6.8000
1775744504851,Sitting,-4.7000,-5.1000,7.0000
1775744504867,Sitting,-4.4000,-5.2000,7.1000
1775744504885,Sitting,-4.4000,-5.3000,6.7000
1775744504901,Sitting,-4.6000,-5.4000,6.4000
1775744504917,Sitting,-4.8000,-5.3000,6.7000
1775744504934,Sitting,-4.8000,-5.3000,6.7000
1775744504952,Sitting,-4.7000,-5.4000,6.7000
1775744504967,Sitting,-4.7000,-5.5000,6.8000
1775744504984,Sitting,-4.7000,-5.5000,6.7000
1775744505003,Sitting,-4.6000,-5.7000,6.8000
1775744505017,Sitting,-4.5000,-5.6000,6.7000
1775744505034,Sitting,-4.6000,-5.4000,6.7000
1775744505051,Sitting,-4.7000,-5.3000,6.7000
1775744505072,Sitting,-4.8000,-5.0000,6.9000
1775744505084,Sitting,-4.8000,-5.0000,6.9000
1775744505101,Sitting,-5.0000,-5.1000,5.4000
1775744505117,Sitting,-5.0000,-4.8000,7.4000
1775744505134,Sitting,-4.6000,-5.3000,6.7000
1775744505151,Sitting,-4.8000,-5.6000,6.4000
1775744505167,Sitting,-5.3000,-5.3000,6.7000
1775744505184,Sitting,-5.2000,-5.1000,6.5000
1775744505201,Sitting,-5.5000,-5.0000,6.7000
1775744505217,Sitting,-5.3000,-4.9000,6.4000
1775744505234,Sitting,-5.0000,-5.1000,6.0000
1775744505252,Sitting,-5.1000,-5.2000,6.0000
1775744505267,Sitting,-5.3000,-5.3000,6.3000
1775744505284,Sitting,-5.5000,-5.3000,6.5000
1775744505302,Sitting,-5.4000,-5.2000,6.3000
1775744505318,Sitting,-5.4000,-5.2000,6.2000
1775744505336,Sitting,-5.5000,-5.3000,6.1000
1775744505351,Sitting,-5.6000,-5.3000,6.1000
1775744505367,Sitting,-5.7000,-5.4000,6.2000
1775744505386,Sitting,-5.5000,-5.6000,6.4000
1775744505402,Sitting,-5.2000,-5.5000,6.3000
1775744505417,Sitting,-5.2000,-5.3000,6.1000
1775744505434,Sitting,-5.4000,-5.3000,5.9000
1775744505451,Sitting,-5.8000,-5.3000,5.8000
1775744505467,Sitting,-5.8000,-5.4000,5.8000
1775744505484,Sitting,-5.7000,-5.4000,5.8000
1775744505502,Sitting,-5.8000,-5.2000,5.6000
1775744505517,Sitting,-5.8000,-5.3000,5.9000
1775744505541,Sitting,-6.1000,-5.7000,5.8000
1775744505550,Sitting,-5.9000,-5.8000,5.8000
1775744505567,Sitting,-5.6000,-5.8000,5.8000
1775744505584,Sitting,-5.6000,-5.8000,5.6000
1775744505601,Sitting,-5.5000,-5.8000,5.7000
1775744505617,Sitting,-5.1000,-5.7000,5.8000
1775744505636,Sitting,-5.1000,-5.7000,5.5000
1775744505651,Sitting,-5.2000,-5.8000,5.4000
1775744505667,Sitting,-5.4000,-6.0000,5.8000
1775744505684,Sitting,-5.6000,-6.2000,6.0000
1775744505700,Sitting,-5.6000,-6.2000,5.8000
1775744505719,Sitting,-5.5000,-5.8000,5.6000
1775744505736,Sitting,-4.8000,-5.6000,5.9000
1775744505750,Sitting,-4.2000,-5.9000,6.5000
1775744505768,Sitting,-4.2000,-6.4000,6.8000
1775744505785,Sitting,-5.0000,-6.8000,6.3000
1775744505802,Sitting,-5.7000,-6.7000,5.5000
1775744505817,Sitting,-5.9000,-6.2000,5.5000
1775744505834,Sitting,-5.6000,-6.2000,5.7000
1775744505851,Sitting,-5.1000,-6.3000,5.7000
1775744505868,Sitting,-5.0000,-6.1000,5.6000
1775744505885,Sitting,-5.0000,-6.1000,5.5000
1775744505902,Sitting,-5.1000,-6.2000,5.6000
1775744505918,Sitting,-5.3000,-6.5000,5.9000
1775744505935,Sitting,-5.2000,-6.5000,5.9000
1775744505951,Sitting,-5.1000,-6.3000,5.9000
1775744505969,Sitting,-5.0000,-6.1000,5.8000
1775744505985,Sitting,-4.8000,-6.1000,5.9000
1775744506002,Sitting,-4.9000,-6.2000,5.9000
1775744506019,Sitting,-5.1000,-6.2000,5.9000
1775744506035,Sitting,-5.0000,-6.2000,5.9000
1775744506052,Sitting,-5.0000,-6.1000,5.8000
1775744506067,Sitting,-4.9000,-6.1000,5.8000
1775744506084,Sitting,-4.9000,-6.1000,5.8000
1775744506101,Sitting,-4.8000,-6.1000,5.8000
1775744506118,Sitting,-4.8000,-6.2000,5.9000
1775744506134,Sitting,-4.8000,-6.3000,5.9000
1775744506152,Sitting,-4.9000,-6.3000,5.9000
1775744506168,Sitting,-4.9000,-6.2000,5.8000
1775744506185,Sitting,-4.8000,-6.2000,5.9000
1775744506201,Sitting,-4.9000,-6.4000,6.0000
1775744506217,Sitting,-5.0000,-6.5000,6.0000
1775744506234,Sitting,-5.0000,-6.2000,5.7000
1775744506251,Sitting,-4.9000,-6.2000,5.8000
1775744506268,Sitting,-4.9000,-6.2000,5.8000
1775744506284,Sitting,-5.0000,-6.2000,5.8000
1775744506301,Sitting,-5.0000,-6.2000,5.8000
1775744506317,Sitting,-5.0000,-6.2000,5.8000
1775744506334,Sitting,-4.9000,-6.2000,5.8000
1775744506352,Sitting,-4.7000,-6.1000,5.9000
1775744506368,Sitting,-4.7000,-6.1000,5.9000
1775744506384,Sitting,-4.7000,-6.1000,5.9000
1775744506401,Sitting,-4.7000,-6.1000,5.9000
1775744506417,Sitting,-4.6000,-6.1000,5.9000
1775744506435,Sitting,-4.5000,-6.1000,6.0000
1775744506451,Sitting,-4.5000,-6.2000,6.0000
1775744506467,Sitting,-4.6000,-6.2000,6.0000
1775744506486,Sitting,-4.6000,-6.2000,6.0000
1775744506501,Sitting,-4.6000,-6.3000,6.0000
1775744506517,Sitting,-4.7000,-6.3000,6.0000
1775744506534,Sitting,-4.7000,-6.3000,6.0000
1775744506551,Sitting,-4.7000,-6.3000,6.0000
1775744506567,Sitting,-4.7000,-6.3000,6.0000
1775744506584,Sitting,-4.7000,-6.3000,6.0000
1775744506600,Sitting,-4.7000,-6.2000,6.0000
1775744506617,Sitting,-4.6000,-6.2000,6.0000
1775744506634,Sitting,-4.6000,-6.1000,6.0000
1775744506651,Sitting,-4.7000,-6.1000,6.0000
1775744506667,Sitting,-4.7000,-6.1000,6.0000
1775744506684,Sitting,-4.7000,-6.1000,5.9000
1775744506701,Sitting,-4.7000,-6.1000,5.9000
1775744506718,Sitting,-4.7000,-6.1000,5.9000
1775744506734,Sitting,-4.7000,-6.1000,6.0000
1775744506751,Sitting,-4.8000,-6.2000,6.0000
1775744506767,Sitting,-4.8000,-6.1000,6.0000
1775744506784,Sitting,-4.7000,-6.1000,6.0000
1775744506801,Sitting,-4.7000,-6.1000,6.0000
1775744506817,Sitting,-4.7000,-6.2000,6.0000
1775744506834,Sitting,-4.7000,-6.2000,6.0000
1775744506850,Sitting,-4.8000,-6.1000,6.0000
1775744506867,Sitting,-4.8000,-6.1000,6.0000
1775744506884,Sitting,-4.7000,-6.0000,5.9000
1775744506901,Sitting,-4.7000,-6.1000,6.0000
1775744506917,Sitting,-4.7000,-6.1000,6.0000
1775744506934,Sitting,-4.8000,-6.2000,6.0000
1775744506952,Sitting,-4.8000,-6.1000,6.0000
1775744506967,Sitting,-4.7000,-6.1000,6.0000
1775744506984,Sitting,-4.7000,-6.1000,6.0000
1775744507000,Sitting,-4.7000,-6.1000,6.0000
1775744507017,Sitting,-4.8000,-6.1000,6.0000
